,리뷰
10,"씨쉘을 정말 기대했는데, 반들반들한 자연스러운 윤광이 생기는 하이라이터예요! 손으로 만졌을 땐 입자가 곱긴 해도 서걱하단 느낌이 있는데, 느낌과 다르게 바르면 약간의 물광 느낌도 납니다. 개인적으로 펄이 잘 보이지 않을 정도로 쉬머한 하이라이터를 좋아하는데, 펄이 하라 중엔 중간 크기 정도로 눈에 띄긴 합니다. 그렇다고 글리터 수준은 아니고, 전반적으로 자연스러운 색감과 발색이라 괜찮아요! 근데 자연스럽다는 건? 엄청나게 반사력이 좋지는 않다는 거죵~ 퀄리티가 분명히 좋고.. 하라도 예쁘지만 정가 주고 사기는 아깝고요. 내가 하이라이터가 많은데도 굳이 사야 하는 정도의 하이라이터는 아니고, 하이라이터가 없는데 자연스러우면서 어느정도 괜찮은 하이라이터가 필요하다면 하나쯤 구매해봐도 좋을 것 같습니다. 아, 색상은 거의 화이트처럼 보이는 아이보리입니다. 그렇기에 굳이 퍼컬 따질 필요는 없을 것 같아요!

블러셔는 핑크아이싱을 샀는데, 가루타입은 그냥 흔한 여쿨 핑크 블러셔예요. 다만 쉬머가 예쁩니다. 하이라이터 없이 쉬머 하나만으로도 어느 정도 피부에서 비치듯 은은한 광이 올라오는 표현이 돼요! 가루타입은 증정으로 온 브러쉬로 쓸었더니 허물어지듯이 가루가 날려서 당황했습니다 ◠‿◠,,,"
11,"충동구매 후기 남깁니다..!

🧡블러셔
원래 피치색 좋아하는 봄웜라이트라 뮤드거랑 비교해봄
두개 색 섞발하면 피치어피치 나올거 같고 
왼쪽 연핑크 색이 밝고 확실히 분홍기가 많이돌아서 피부색 많이 탈거 같아요
살짝 쿨한가…? 싶어서 블루밍서울이랑 비교해봤는데 전혀 아님 확실의 웜핑크

질감은 되게 좋아요 뮤드처럼 모공 메꿔주는 느낌

그리고 👍🏻오른쪽 블러셔가 찐입니다..진짜로..
힌스에 멜로우 살까말까 고민하다가 좀 아쉬워서 안샀었는데 얘랑 거의 흡사함 비슷해요
사실 이거 때문에 산거라 너무 만족합니다

🧡하이라이터
씨쉘 이름값 제대로 함. 사진에서는 잘 안보이는데 진짜 그 밑색..??없어서 투명하고 촘촘하게 올라와요 확실히 골드쉬어가 뽝!! 이긴한데 광이 달라요

특유의 퍼석함 아예없고 씨쉘은 피부가 좋아보이는 광으로 보이고 골드쉬어보다 누런기가 없어서 쿨톤분들도 잘 쓸거 같은 색

브러쉬 말모~ 신상이라 리뷰가 없어서 불편했어서 자세히 썼으니 도움이 되길🙂‍↕️"
12,"얼마나 기다렸는지.몰라요.요새.이런 마블하라 종종나오지만 에스쁘아가 젤 이쁜거같아요.런칭만 기달렸는데 라방에.구성좋고 가격좋구요
블러셔는 고민하다가 그냥 좋아하는 색인 핑크아이싱으로 샀는데 젤리타입쪽 색이 꽃분홍이네요ㅣ피치나 비올레타 요런 차분한 색도 이뻣겄어요. 하라는 두 색 다 구입했어요. 예전 투페이스드 보석 하라처럼.네모난 돔처럼 올라와있는데 단단한데.질감고운거 미쳤어요!!! 
씨쉘은 무난한색이고 핑크마린은 너무.이쁜 여리한 핑크라벤더예요. 브러쉬증정받아서 좋고.머리끈하고.틴스틱도 받았어요. 
블러셔도 하나 더 사야 할거 같아요"
13,"21~22호 웜톤 이에요. 피치피즈치크,씨쉘 하이라이터 했는데 색 괜찮은것같아요. 특히 치크는 로제트 컬러랑 고민이 많이 됬는데 이제 곧 더워지는 계절이고 해서 더워보일까봐 톤다운된 로제트보다는 좀 더 밝은 색감인 피치피즈로 골랐어요. 발색해보니 라방때 보였던것보단 색감이 잘 올라왔고 예쁘더라고요~특히 젤리같은 질감의 치크부분이 색감이 참 예쁘더라고요 잔펄도 콕콕 박혀 있어서 촉촉하게 보여지는거 같아요~ 씨쉘 하이라이터도 잔잔한 펄이 좀 보이긴하나 물광처럼 보여서 괜찮은것같아요. 질감은 좀 서걱서걱 거리긴합니다. 같이 증정되어 온 치크,하이라이터브러시는 생각했던것보다 길이나 크기가 작아요 휴대용브러시같은 느낌이에요. 그래서 들고다니면서 쓸 수 있을것같아요."
14,"핑크아이싱 핑크마린 조합 미쳤어요
얼굴에 올렸을때 표현도 아주 예뻐요
화장 지우기 아까워서 거울만 몇십분 봤네용
올해 산 하라 블러셔중에 젤 맘에 듭니당
블러셔는 3가지 컬러를 사용할 수 있어서 좋았고 하이라이터는 촉촉 투명 새틴광이라 이뿐데 여러번 덧바르면 여자아이돌 뽀용 메이크업 뺨치는 핑크빔 발사됩니다! 핑크 좋아하시면 들여보시는걸 추천!! 증정 브러쉬들도 퀄리티 좋고 궁합 찰떡
귀여운 파우치랑 스크런치도 주니 런칭할때 사는게 이득..!"
15,"와 원래 귀찮아서 리뷰 잘 안남기는데 진짜 너무 대박이라 리뷰 남깁니다… 
일단 에스쁘아…증정으로 주신 블러셔 브러쉬 판매해주실 생각 없으신가요ㅠㅠ너무  대박이에요… 비슷한 컷팅모양의 ㅂㅇㅂ 브러쉬보다도 갠적으로 좋다고 느껴지고 블러셔 컬러도 미쳤습니다
사진으로 보기에는 좀 더 웜한 번트로즈/코랄로즈 처럼 보였는데 얼굴에 올리니 제얼굴에는 핑키한 뮤트로즈로 올라와요!! 저는 갈뮤트지만 핑크가 더 잘받아서 너무 만족스러워용ㅎㅎ
그리고 하이라이터는 사진을 못찍었는데 블러셔 질감이랑 세트로 너무…!!!!! 잘어울립니다
퍼석거리면서 펄 입자 크게 올라가는 하이라이터는 안좋아하는데 피부에 스며들듯이 발리고 광도 화려한듯 자연스러운듯 너무 예쁘게 올라가요 진짜 최고입니다…..🩷🩷🩷 너무 예뻐서 흥분해서 썼는데 진짜 고민중이신 분들은 사세요!! 에스쁘아는 브러쉬도 출시해주시길 부탁드립니다🫶🏻"
16,"일단 블러셔는 핑크 아이싱 색상이 쿨톤에게 딱 뽀용한 핑크라 좋아요! 그런데 단점이 하나 있다면 가루 블러셔가 같이 온 브러쉬로 바르면 가루날림이 정말..심해요..그리고 블러셔 브러쉬가 생각보다 톡톡 바르먄 피부가 따갑네요.. 색은 이쁩니다.. 그리고 발색을 확실히 내려면 크림(?)부분 블러셔 쓰면 색도 잘 올라오고 예쁩니다! 좀 더 써 봐야겠지만 좋아요! 

그리고 하이라이터는 씨쉘 샀는데 색이 진짜 웜쿨 안 타는 딱 아이보리? 빛이에요..! 저는 여쿨이라 혹시라도 노랄까봐 걱정했는데 안 노랗고 딱 진주 빛 광을 얹어주네요..!!!! 코에 바를때 자연스럽게 이쁜 것 같아요.. 블러셔랑도 발라봤는데 브러쉬로 바르먄 자연스럽게 발색이 돼서 티나게 하고싶으면 손으로 바르는게 좋을 듯 하네용!! 하이라이터 오만 화장에 다 잘 쓸 수 있을 것 같아서 잘 산 것 같아요!!"
17,"블러셔는 발색이 은은해요 증정으로 준 블러셔 브러쉬가 브오브를 좀 따라한것같은,,^^ (개인적으로 에스쁘아가 더 좋았어요) 
하이라이터는 듀이문에 비해 노란끼가 빠져사 쿨톤 분들도 잘 쓰실 수 있을것같구 피부에 올렸을때 발색이 자연스럽고 은은해요 하이라이터 브러쉬 크기가 작아서 실망했는데 작아서 힘도 잘들어가도 발색 잘돼서 좋네용 
에스쁘아는 굿즈맛집!!!!!🩷"
18,"너무너무 예쁩니다!! 🥰 
23호 갈웜인데 로제트 너무 예쁘게 발색돼요!! 
사진으로는 색감이 잘 안 담기는 거 같은데 진짜 로즈컬러 느낌입니다 ㅠㅠ 특히 펄 블러셔 너무 예뻐요!!
ㅠㅠ 대만족 씨쉘도 발색 너무 예쁩니당!! 
같이 온 미니 스크런치랑 파우치도 귀여워요🧡🩷"
19,"어제 저녁에 시켰는데 오늘 낮에 왔어요!! 
배송 진짜 발라서 좋고요 라이브때 사서 그런지 더 싼 가격으로 치크랑 하라까지 살 수 있어서 너무 좋았습니다.
스크런치랑 파우치 넘 귀엽고 여행 갈때 하라랑 치크 쏙 들어갈 수 있는 크기라서 좋은 것 같아요 🌸

브러쉬도 하라 브러쉬 치크 브러쉬 각각 1개씩 와서 좋아요

하라 색상도 진주알 마냥 고급스럽게 광이 나면서 착 밀착됩니다 치크도 쿨톤에 맞게 화사한 핑크 색상이에요🥰

하라는 핑크마린과 씨쉘 중에 고민했는데 씨쉘이 더 광이 많이 나는 것 같아서 씨쉘로 했습니다

에스쁘아 일냈다...!"
